target_index,source_binding_target_id,source_side,bound_raw_key,bound_candidate_scoring_id,admission_readiness,admission_status,field_pin_status,source_row_count,scalar_leaf_count,candidate_object_id,provenance_chain_complete,semantics_choice_available
44,2fb8b2e1dc74635002fb1ebbaf1119f6227cb8616daa7e72c484b84145284eb2,RAW,6000006::S12::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
45,c73eb218f77cb14e8f42739807fc95ccb5107a94e26a2af970c41980c251d8d2,RAW,6000006::S12::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,46,,NO,NO
46,0f3c72cd8d4773e0ae75e47c33bc34e3d96560714a397cbeb2247faa0e3eb331,RAW,6000006::S12::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,44,,NO,NO
47,ee1a34e2352a636cf6f3eb6679933cc7d82f51cb9953ba838d1ae137f76c465b,RAW,6000007::S03::A006,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
48,0256c00ee60593504699c44880d5c50af81eb2b7d4cfa78a1092b022f4aad180,RAW,6000007::S03::A007,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
49,6dc4c4c3fbfc4b3f20a9e4240b96e250cc9b101e3eeeda273935e9f68c47b251,RAW,6000007::S03::A009,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,49,,NO,NO
50,1e34e604a24038487a47decad5c357f2a59ab4d504f72b351d7da42e2f2baef1,RAW,6000007::S03::A011,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,46,,NO,NO
51,33921558a444f6625ca6f4e74db09ea08c5f782db3e061db51dcba77a9d7bc9d,RAW,6000007::S04::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,49,,NO,NO
52,b0f4e050da481eba5c249e9c49bdd2c9913efcc1e0b40bf5a107df738b91d01a,RAW,6000007::S04::A003,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,48,,NO,NO
53,f69d79b3745e3bd5c6075e744eb0c9193976f2e772df53311adfd1629fb19856,RAW,6000007::S06::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
